-0.85	3.02235e+26
-0.841414	2.96694e+26
-0.832828	2.91218e+26
-0.824242	2.85808e+26
-0.815657	2.80462e+26
-0.807071	2.7518e+26
-0.798485	2.69962e+26
-0.789899	2.64806e+26
-0.781313	2.59713e+26
-0.772727	2.54682e+26
-0.764141	2.49712e+26
-0.755556	2.44803e+26
-0.74697	2.39954e+26
-0.738384	2.35165e+26
-0.729798	2.30435e+26
-0.721212	2.25764e+26
-0.712626	2.21152e+26
-0.70404	2.16597e+26
-0.695455	2.121e+26
-0.686869	2.0766e+26
-0.678283	2.03276e+26
-0.669697	1.98949e+26
-0.661111	1.94676e+26
-0.652525	1.90459e+26
-0.643939	1.86296e+26
-0.635354	1.82188e+26
-0.626768	1.78133e+26
-0.618182	1.74132e+26
-0.609596	1.70183e+26
-0.60101	1.66287e+26
-0.592424	1.62443e+26
-0.583838	1.5865e+26
-0.575253	1.54908e+26
-0.566667	1.51217e+26
-0.558081	1.47576e+26
-0.549495	1.43986e+26
-0.540909	1.40444e+26
-0.532323	1.36951e+26
-0.523737	1.33507e+26
-0.515152	1.30112e+26
-0.506566	1.26764e+26
-0.49798	1.23463e+26
-0.489394	1.20209e+26
-0.480808	1.17002e+26
-0.472222	1.13841e+26
-0.463636	1.10726e+26
-0.455051	1.07656e+26
-0.446465	1.04631e+26
-0.437879	1.01651e+26
-0.429293	9.87149e+25
-0.420707	9.58226e+25
-0.412121	9.29738e+25
-0.403535	9.0168e+25
-0.394949	8.74048e+25
-0.386364	8.46839e+25
-0.377778	8.2005e+25
-0.369192	7.93675e+25
-0.360606	7.67712e+25
-0.35202	7.42156e+25
-0.343434	7.17004e+25
-0.334848	6.92252e+25
-0.326263	6.67897e+25
-0.317677	6.43934e+25
-0.309091	6.2036e+25
-0.300505	5.97172e+25
-0.291919	5.74365e+25
-0.283333	5.51935e+25
-0.274747	5.2988e+25
-0.266162	5.08196e+25
-0.257576	4.86878e+25
-0.24899	4.65923e+25
-0.240404	4.45328e+25
-0.231818	4.25088e+25
-0.223232	4.05201e+25
-0.214646	3.85663e+25
-0.206061	3.66469e+25
-0.197475	3.47616e+25
-0.188889	3.29102e+25
-0.180303	3.10921e+25
-0.171717	2.93071e+25
-0.163131	2.75548e+25
-0.154545	2.58348e+25
-0.14596	2.41468e+25
-0.137374	2.24904e+25
-0.128788	2.08652e+25
-0.120202	1.9271e+25
-0.111616	1.77073e+25
-0.10303	1.61738e+25
-0.0944444	1.46702e+25
-0.0858586	1.31961e+25
-0.0772727	1.1751e+25
-0.0686869	1.03348e+25
-0.060101	8.94706e+24
-0.0515152	7.58739e+24
-0.0429293	6.25546e+24
-0.0343434	4.95094e+24
-0.0257576	3.67347e+24
-0.0171717	2.42272e+24
-0.00858586	1.19834e+24
0	0
